name_lex,referencia,_notas
companhia.engenharia.trafego,br;sp;sao.paulo,
companhia.engenharia.trafego;camara.municipal,br;sp;sao.paulo,
companhia.metropolitana.habitacao,br;sp;sao.paulo,
companhia.sao.paulo.desenvolvimento.mobilizacao.ativos,br;sp;sao.paulo,
conselho.gestor.fundo.municipal.saneamento.ambiental.infraestrutura,br;sp;sao.paulo,
controladoria.geral.municipio,br;sp;sao.paulo,
departamento.contadoria,br;sp;sao.paulo,conferir
gabinete.prefeito,br;sp;sao.paulo,
gabinete.secretario.prefeito,br;sp;sao.paulo,conferir
instituto.previdencia.municipal,br;sp;sao.paulo,
,,
instituto.previdencia.municipal;divisao.assuntos.internos,br;sp;sao.paulo,
instituto.previdencia.municipal;divisao.financas.contabilidade,br;sp;sao.paulo,
instituto.previdencia.municipal;gabinete.superintendente,br;sp;sao.paulo,
instituto.previdencia.municipal;juridico,br;sp;sao.paulo,
,,
secretaria.assistencia.desenvolvimento.social,br;sp;sao.paulo,
secretaria.assistencia.desenvolvimento.social;coordenadoria.assistencia.social,br;sp;sao.paulo,
secretaria.assistencia.desenvolvimento.social;coordenadoria.gestao.administrativa,br;sp;sao.paulo,
secretaria.assistencia.desenvolvimento.social;coordenadoria.gestao.pessoas,br;sp;sao.paulo,
secretaria.assistencia.desenvolvimento.social;gabinete.secretario,br;sp;sao.paulo,
secretaria.assistencia.desenvolvimento.social;supervisao.geral.planejamento.controle,br;sp;sao.paulo,
secretaria.comunicacao,br;sp;sao.paulo,
secretaria.coordenacao.estagios.tcmsp,br;sp;sao.paulo,conferir tcm;secretaria
secretaria.coordenacao.subprefeituras,br;sp;sao.paulo,
,,
secretaria.coordenacao.subprefeituras;subprefetura,br;sp;sao.paulo,falta nome da subprefeitura
secretaria.coordenacao.subprefeituras;superintendencia.usinas.asfalto,br;sp;sao.paulo,
secretaria.coordenacao.subprefeituras;supervisao.transportes.internos,br;sp;sao.paulo,
secretaria.coordenadoria.recursos.humanos,br;sp;sao.paulo,
secretaria.cultura,br;sp;sao.paulo,
secretaria.cultura;centro.cultural,br;sp;sao.paulo,
secretaria.cultura;centro.cultural.juventude,br;sp;sao.paulo,
secretaria.cultura;compresp,br;sp;sao.paulo,
secretaria.cultura;coordenadoria.sisteam.municipal.bibliotecas,br;sp;sao.paulo,
,,
secretaria.cultura;departamento.expansao.cultural,br;sp;sao.paulo,
secretaria.cultura;departamento.patrimonio.historico,br;sp;sao.paulo,
secretaria.cultura;fundacao.theatro.municipal,br;sp;sao.paulo,
secretaria.cultura;gabinete.secretario,br;sp;sao.paulo,
secretaria.cultura;theatro.municipal,br;sp;sao.paulo,
secretaria.desenvolvimento.urbano,br;sp;sao.paulo,
secretaria.direitos.humanos.cidadania,br;sp;sao.paulo,
secretaria.educacao,br;sp;sao.paulo,
secretaria.educacao;coordenadoria.dos.nucleos.acao.educativa,br;sp;sao.paulo,
secretaria.educacao;diretoria.regional.educacao,br;sp;sao.paulo,
secretaria.educacao;gabinete.secretario,br;sp;sao.paulo,
secretaria.empresa.cinema.audiovisual.sao.paulo,br;sp;sao.paulo,
secretaria.empresa.tecnologia.informacao.comunicacao,br;sp;sao.paulo,
secretaria.escola.contas,br;sp;sao.paulo,
secretaria.esportes,br;sp;sao.paulo,
secretaria.financas.desenvolvimento.economico,br;sp;sao.paulo,
secretaria.financas.desenvolvimento.economico;auditoria.geral,br;sp;sao.paulo,
secretaria.financas.desenvolvimento.economico;coordenadoria.pmat,br;sp;sao.paulo,
secretaria.financas.desenvolvimento.economico;departamento.contadoria,br;sp;sao.paulo,
secretaria.financas.desenvolvimento.economico;subsecretaria.receita.municipal,br;sp;sao.paulo,
secretaria.financas.desenvolvimento.economico;subsecretaria.tesouro.municipal,br;sp;sao.paulo,
secretaria.governo.municipal,br;sp;sao.paulo,
secretaria.habitacao,br;sp;sao.paulo,
secretaria.habitacao;conselho.municipal.habitacao,br;sp;sao.paulo,
secretaria.habitacao;coordenadoria.gestao.atendimento.social,br;sp;sao.paulo,
secretaria.habitacao;coordenadoria.gestao.programas,br;sp;sao.paulo,
secretaria.habitacao;coordenadoria.regularizacao.fundiaria,br;sp;sao.paulo,
secretaria.hospital.servidor.publico.municipal,br;sp;sao.paulo,
secretaria.hospital.servidor.publico.municipal;divisao.administrativa,br;sp;sao.paulo,
secretaria.hospital.servidor.publico.municipal;gabinete.superintendente,br;sp;sao.paulo,
secretaria.infra-estrutura.urbana.obras,br;sp;sao.paulo,
secretaria.infra-estrutura.urbana.obras;departamento.controle.uso.vias.publicas,br;sp;sao.paulo,
secretaria.infra-estrutura.urbana.obras;departamento.edificacoes,br;sp;sao.paulo,
secretaria.infra-estrutura.urbana.obras;departamento.iluminacao.publica,br;sp;sao.paulo,
secretaria.infra-estrutura.urbana.obras;gabinete.secretario,br;sp;sao.paulo,
secretaria.infra-estrutura.urbana.obras;superintendencia.obras.viarias,br;sp;sao.paulo,
secretaria.infra-estrutura.urbana.obras;superintendencia.proj.viarios,br;sp;sao.paulo,
secretaria.negocios.juridicos,br;sp;sao.paulo,poder exe?
secretaria.negocios.juridicos;conselho.mun.acidentes.viaturas.municipais,br;sp;sao.paulo,
secretaria.negocios.juridicos;departamento.defesa.meio.ambiente.patrimonio,br;sp;sao.paulo,
secretaria.negocios.juridicos;departamento.desapropriacoes,br;sp;sao.paulo,
secretaria.negocios.juridicos;departamento.fiscal,br;sp;sao.paulo,
secretaria.negocios.juridicos;departamento.judicial,br;sp;sao.paulo,
secretaria.negocios.juridicos;departamento.procedimentos.disciplinares,br;sp;sao.paulo,
secretaria.negocios.juridicos;gabinete.secretario,br;sp;sao.paulo,
secretaria.negocios.juridicos;procuradoria.geral.municipio,br;sp;sao.paulo,
secretaria.pessoa.deficiencia.mobilidade.reduzida,br;sp;sao.paulo,
secretaria.planejamento,br;sp;sao.paulo,
secretaria.planejamento;coordenadoria.administracao.financas,br;sp;sao.paulo,
secretaria.planejamento;coordenadoria.gestao.bens.servicos,br;sp;sao.paulo,
secretaria.planejamento;coordenadoria.gestao.documentos.publicos,br;sp;sao.paulo,
secretaria.planejamento;coordenadoria.gestao.pessoas,br;sp;sao.paulo,
secretaria.planejamento;coordenadoria.gestao.tecnologia.informacao.comunicacao,br;sp;sao.paulo,
secretaria.planejamento;coordenadoria.modernizacao.tecnologia.informacao.comunicacao,br;sp;sao.paulo,
secretaria.planejamento;coordenadoria.orcamento,br;sp;sao.paulo,
secretaria.planejamento;coordenadoria.planejamento,br;sp;sao.paulo,
secretaria.planejamento;coordenadoria.programas.estrategicos,br;sp;sao.paulo,
secretaria.planejamento;departamento.desenvolvimento.pessoal,br;sp;sao.paulo,
secretaria.planejamento;departamento.gestao.carreiras,br;sp;sao.paulo,
secretaria.planejamento;departamento.gestao.patrimonio.imobiliario,br;sp;sao.paulo,
secretaria.planejamento;departamento.procedimentos.disciplinares,br;sp;sao.paulo,
secretaria.planejamento;departamento.recursos.humanos,br;sp;sao.paulo,
secretaria.planejamento;departamento.recursos.humanos,br;sp;sao.paulo,
secretaria.planejamento;departamento.saude.servidor,br;sp;sao.paulo,
secretaria.planejamento;gabinete.secretaria,br;sp;sao.paulo,
secretaria.planejamento;gabinete.secretario,br;sp;sao.paulo,
secretaria.politicas.mulheres,br;sp;sao.paulo,
secretaria.politicas.mulheres;gabinete.secretaria,br;sp;sao.paulo,
secretaria.promocao.igualdade.racial,br;sp;sao.paulo,
secretaria.promocao.igualdade.racial;gabinete.secretario,br;sp;sao.paulo,
secretaria.relacoes.governamentais,br;sp;sao.paulo,
secretaria.relacoes.governamentais;gabinete.secretario.especial,br;sp;sao.paulo,
secretaria.relacoes.internacionais.federativas,br;sp;sao.paulo,
secretaria.saude,br;sp;sao.paulo,
secretaria.saude;asplan,br;sp;sao.paulo,
secretaria.saude;autarquia.hospitalar.municipal,br;sp;sao.paulo,
secretaria.saude;centro.controle.zoonozes,br;sp;sao.paulo,
secretaria.saude;centro.epidemiologia,br;sp;sao.paulo,
secretaria.saude;centro.organizacao.atencao.saude,br;sp;sao.paulo,
secretaria.saude;centro.recursos.humanos,br;sp;sao.paulo,
secretaria.saude;coordenacao.vigilancia.em.saude,br;sp;sao.paulo,
secretaria.saude;coordenadoria.regional.saude.centro-oeste,br;sp;sao.paulo,
secretaria.saude;coordenadoria.regional.saude.leste,br;sp;sao.paulo,
secretaria.saude;coordenadoria.regional.saude.norte,br;sp;sao.paulo,
secretaria.saude;coordenadoria.regional.saude.sudeste,br;sp;sao.paulo,
secretaria.saude;coordenadoria.regional.saude.sul,br;sp;sao.paulo,
secretaria.saude;gabinete.secretario,br;sp;sao.paulo,
secretaria.seguranca.urbana,br;sp;sao.paulo,
secretaria.seguranca.urbana;coordenadoria.municipal.defesa.civil,br;sp;sao.paulo,
secretaria.seguranca.urbana;gabinete.secretario,br;sp;sao.paulo,
secretaria.seguranca.urbana;supervisao.geral.juntas.servico.militar,br;sp;sao.paulo,
secretaria.servicos,br;sp;sao.paulo,
secretaria.servicos;departamento.iluminacao.publica,br;sp;sao.paulo,
secretaria.servicos;departamento.limpeza.urbana,br;sp;sao.paulo,
secretaria.servicos;gabinete.secretario,br;sp;sao.paulo,
secretaria.tesouro.municipal,br;sp;sao.paulo,
secretaria.trabalho.empreendedorismo,br;sp;sao.paulo,
secretaria.trabalho.empreendedorismo;gabinete.secretario,br;sp;sao.paulo,
secretaria.transportes,br;sp;sao.paulo,
secretaria.transportes;departamento.operacao.sistema.viario,br;sp;sao.paulo,
secretaria.transportes;departamento.transportes.internos,br;sp;sao.paulo,
secretaria.transportes;departamento.transportes.publicos,br;sp;sao.paulo,
secretaria.transportes;gabinete.secretario,br;sp;sao.paulo,
secretaria.verde.meio.ambiente,br;sp;sao.paulo,
secretaria.verde.meio.ambiente,br;sp;sao.paulo,
secretaria.verde.meio.ambiente;departamento.administracao.financas,br;sp;sao.paulo,
secretaria.verde.meio.ambiente;departamento.administracao.financas,br;sp;sao.paulo,
secretaria.verde.meio.ambiente;departamento.controle.qualidade.ambiental,br;sp;sao.paulo,
secretaria.verde.meio.ambiente;departamento.controle.qualidade.ambiental,br;sp;sao.paulo,
secretaria.verde.meio.ambiente;departamento.educacao.ambiental.cultura.paz,br;sp;sao.paulo,
secretaria.verde.meio.ambiente;departamento.educacao.ambiental.cultura.paz,br;sp;sao.paulo,
secretaria.verde.meio.ambiente;departamento.gestao.descentralizada,br;sp;sao.paulo,
secretaria.verde.meio.ambiente;departamento.gestao.descentralizada,br;sp;sao.paulo,
secretaria.verde.meio.ambiente;departamento.parques.areas.verdes,br;sp;sao.paulo,
secretaria.verde.meio.ambiente;departamento.parques.areas.verdes,br;sp;sao.paulo,
secretaria.verde.meio.ambiente;departamento.participacao.fomento.politicas.publicas,br;sp;sao.paulo,
secretaria.verde.meio.ambiente;departamento.participacao.fomento.politicas.publicas,br;sp;sao.paulo,
secretaria.verde.meio.ambiente;departamento.planejamento.ambiental,br;sp;sao.paulo,
secretaria.verde.meio.ambiente;departamento.planejamento.ambiental,br;sp;sao.paulo,
secretaria.verde.meio.ambiente;gabinete,br;sp;sao.paulo,
secretaria.verde.meio.ambiente;gabinete.secretario,br;sp;sao.paulo,
servico.funerario.municipio.sao.paulo,br;sp;sao.paulo,
servico.funerario.municipio.sao.paulo;departamento.administracao.financas,br;sp;sao.paulo,
servico.funerario.municipio.sao.paulo;departamento.cemiterios,br;sp;sao.paulo,
servico.funerario.municipio.sao.paulo;departamento.producao,br;sp;sao.paulo,
servico.funerario.municipio.sao.paulo;gabinete.superintendente,br;sp;sao.paulo,
_indefinido,br;sp;sao.paulo,